Question,Answer
as-tu eu une bonne journée jusqu'ici,"Je passe une très bonne journée, je vous remercie. Et vous ?"
dis-moi comment est ta journée d'aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
passes-tu une chouette journée aujourd'hui,"Ma journée se passe très bien, merci."
as-tu eu une bonne journée,"C'est une excellente journée, merci ! Et vous ?"
est-ce que tu as eu une chouette journée,"C'est une très belle journée, merci beaucoup."
est-ce que tu as eu une agréable journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
est-ce que tu as eu une bonne journée,"Ma journée se passe très bien, merci."
tu as eu une chouette journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
as-tu eu une chouette journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
tu as eu une bonne journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
tu as eu une bonne journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
passes-tu une agréable journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
passes-tu une bonne journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
est-ce que tu passes une chouette journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
est-ce que tu passes une agréable journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
est-ce que tu passes une bonne journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
dis comment est ta journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
tu as eu une agréable journée,"Jusqu'ici, tout va bien ! Et vous ?"
as-tu eu une bonne journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
est-ce que tu as eu une chouette journée jusqu'ici,"Ma journée se passe très bien, merci."
est-ce que tu as eu une agréable journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
est-ce que tu as eu une bonne journée jusqu'ici,"Ma journée se passe très bien, merci."
tu as eu une chouette journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
tu as eu une agréable journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
tu as eu une bonne journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
as-tu eu une agréable journée,"Ma journée se passe très bien, merci."
as-tu eu une agréable journée aujourd'hui,"Ma journée se passe très bien, merci."
as-tu eu une chouette journée,"C'est une excellente journée, merci ! Et vous ?"
est-ce que tu as eu une bonne journée aujourd'hui,"C'est une très belle journée, merci beaucoup."
tu as eu une chouette journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
tu as eu une agréable journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
tu passes une agréable journée aujourd'hui,"Ma journée se passe très bien, merci."
as-tu eu une chouette journée aujourd'hui,"Ma journée se passe très bien, merci."
plaisir de vous connaître,C'est un plaisir de vous rencontrer également.
je suis heureux de vous rencontrer,C'est un plaisir de vous rencontrer.
je suis enchantée de faire ta connaissance,C'est un plaisir de vous rencontrer également.
je suis ravie de faire ta connaissance,"Tout le plaisir est pour moi, évidemment."
je suis charmée de vous connaître,C'est un plaisir de vous rencontrer.
je suis enchantée,C'est un plaisir !
je suis ravie,"Tout le plaisir est pour moi, évidemment."
je suis charmée,C'est un plaisir de vous rencontrer également.
ravie,C'est un plaisir !
charmée,C'est un plaisir de vous rencontrer.
je suis vraiment charmé de te connaître,C'est un plaisir !
ravie de vous rencontrer,C'est un plaisir !
je suis enchanté de faire ta connaissance,C'est un plaisir !
je suis ravi de faire ta connaissance,C'est un plaisir de vous rencontrer.
je suis charmé de faire ta connaissance,C'est un plaisir de vous rencontrer.
je suis vraiment enchanté,Plaisir partagé.
je suis vraiment ravi,"Tout le plaisir est pour moi, évidemment."
je suis vraiment charmé,Plaisir partagé.
je suis vraiment enchanté de vous connaître,Plaisir partagé.
je suis vraiment ravi de vous connaître,C'est un plaisir de vous rencontrer.
je suis vraiment charmé de vous connaître,C'est un plaisir !
je suis vraiment enchanté de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis vraiment ravi de vous rencontrer,C'est un plaisir de vous rencontrer également.
je suis vraiment charmé de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis ravi de te rencontrer,Plaisir partagé.
je suis vraiment charmé de faire ta connaissance,C'est un plaisir de vous rencontrer.
enchanté,C'est un plaisir de vous rencontrer.
charmée de vous connaître,C'est un plaisir de vous rencontrer également.
ravie de vous connaître,C'est un plaisir de vous rencontrer également.
enchantée de vous connaître,Plaisir partagé.
je suis vraiment enchanté de te connaître,"Tout le plaisir est pour moi, évidemment."
enchantée,C'est un plaisir !
je suis vraiment ravi de te connaître,C'est un plaisir de vous rencontrer également.
je suis vraiment ravi de faire ta connaissance,C'est un plaisir de vous rencontrer également.
je suis vraiment enchanté de faire ta connaissance,Plaisir partagé.
je suis vraiment charmé de te rencontrer,C'est un plaisir de vous rencontrer.
je suis vraiment ravi de te rencontrer,C'est un plaisir de vous rencontrer.
je suis vraiment enchanté de te rencontrer,C'est un plaisir de vous rencontrer également.
je suis enchanté de te rencontrer,Plaisir partagé.
ravi de faire ta connaissance,C'est un plaisir de vous rencontrer.
ravi,"Tout le plaisir est pour moi, évidemment."
charmé,C'est un plaisir de vous rencontrer.
enchanté de vous connaître,C'est un plaisir de vous rencontrer également.
ravi de vous connaître,C'est un plaisir de vous rencontrer également.
charmé de vous connaître,C'est un plaisir de vous rencontrer également.
enchanté de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
ravi de vous rencontrer,Plaisir partagé.
charmé de vous rencontrer,Plaisir partagé.
enchanté de te connaître,"Tout le plaisir est pour moi, évidemment."
ravi de te connaître,C'est un plaisir de vous rencontrer également.
charmé de te connaître,Plaisir partagé.
enchanté de te rencontrer,C'est un plaisir de vous rencontrer également.
ravi de te rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis charmé de te rencontrer,C'est un plaisir de vous rencontrer également.
je suis ravi de vous connaître,C'est un plaisir de vous rencontrer.
je suis charmé de te connaître,C'est un plaisir de vous rencontrer.
je suis ravi de te connaître,Plaisir partagé.
je suis enchanté de te connaître,C'est un plaisir de vous rencontrer également.
je suis charmé de vous rencontrer,Plaisir partagé.
je suis ravi de vous rencontrer,C'est un plaisir !
charmé de te rencontrer,C'est un plaisir de vous rencontrer également.
je suis charmé de vous connaître,Plaisir partagé.
enchanté de faire ta connaissance,"Tout le plaisir est pour moi, évidemment."
je suis enchanté de vous connaître,C'est un plaisir !
je suis charmé,C'est un plaisir !
je suis ravi,C'est un plaisir de vous rencontrer également.
je suis enchanté,C'est un plaisir !
charmé de faire ta connaissance,C'est un plaisir de vous rencontrer.
charmée de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis enchanté de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis heureux de vous connaître,Plaisir partagé.
enchantée de vous rencontrer,C'est un plaisir de vous rencontrer.
plaisir de vous rencontrer,"Tout le plaisir est pour moi, évidemment."
plaisir de te connaître,Plaisir partagé.
plaisir de te rencontrer,Plaisir partagé.
plaisir de faire ta connaissance,Plaisir partagé.
c'est une joie de vous rencontrer,C'est un plaisir !
c'est une joie de te connaître,C'est un plaisir de vous rencontrer également.
c'est une joie de te rencontrer,Plaisir partagé.
c'est une joie de faire ta connaissance,C'est un plaisir de vous rencontrer.
c'est une joie de faire votre connaissance,C'est un plaisir !
c'est une joie de vous connaître,Plaisir partagé.
je suis content de vous rencontrer,C'est un plaisir de vous rencontrer également.
c'est un plaisir de te rencontrer,"Tout le plaisir est pour moi, évidemment."
heureux de vous rencontrer,Plaisir partagé.
heureuse de te connaître,Plaisir partagé.
heureuse de vous rencontrer,C'est un plaisir !
heureuse de vous connaître,C'est un plaisir !
heureuse de faire votre connaissance,C'est un plaisir de vous rencontrer.
heureux de faire ta connaissance,C'est un plaisir de vous rencontrer également.
je suis content de te rencontrer,Plaisir partagé.
heureux de te connaître,C'est un plaisir de vous rencontrer.
je suis content de faire ta connaissance,"Tout le plaisir est pour moi, évidemment."
heureux de vous connaître,C'est un plaisir !
je suis heureux de faire votre connaissance,C'est un plaisir de vous rencontrer également.
je suis heureux de faire ta connaissance,C'est un plaisir de vous rencontrer également.
je suis heureux de te rencontrer,C'est un plaisir de vous rencontrer.
c'est un plaisir de te connaître,C'est un plaisir de vous rencontrer également.
heureux de te rencontrer,C'est un plaisir de vous rencontrer.
je suis enchantée de vous rencontrer,C'est un plaisir !
enchantée de te connaître,C'est un plaisir de vous rencontrer.
ravie de te connaître,C'est un plaisir de vous rencontrer.
charmée de te connaître,C'est un plaisir !
enchantée de te rencontrer,C'est un plaisir de vous rencontrer.
ravie de te rencontrer,C'est un plaisir de vous rencontrer.
charmée de te rencontrer,"Tout le plaisir est pour moi, évidemment."
enchantée de faire ta connaissance,C'est un plaisir !
ravie de faire ta connaissance,C'est un plaisir de vous rencontrer également.
charmée de faire ta connaissance,C'est un plaisir de vous rencontrer.
je suis enchantée de vous connaître,Plaisir partagé.
c'est un plaisir de faire ta connaissance,C'est un plaisir de vous rencontrer.
je suis enchantée de te rencontrer,C'est un plaisir !
c'est un plaisir de vous rencontrer,C'est un plaisir de vous rencontrer également.
c'est un plaisir de vous connaître,"Tout le plaisir est pour moi, évidemment."
je suis charmée de faire ta connaissance,C'est un plaisir !
je suis ravie de vous connaître,C'est un plaisir de vous rencontrer.
je suis ravie de te rencontrer,"Tout le plaisir est pour moi, évidemment."
je suis charmée de te connaître,C'est un plaisir !
je suis ravie de te connaître,"Tout le plaisir est pour moi, évidemment."
je suis enchantée de te connaître,C'est un plaisir de vous rencontrer.
je suis charmée de vous rencontrer,Plaisir partagé.
je suis ravie de vous rencontrer,C'est un plaisir de vous rencontrer également.
heureuse de faire ta connaissance,Plaisir partagé.
je suis charmée de te rencontrer,"Tout le plaisir est pour moi, évidemment."
hey wall-e,Il ne s'agit pas de moi. Bonjour tout de même.
hello Alexa,Bonjour ! Mais ça n'est pas moi.
hé Assistant Google,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
bonjour Cortana,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
je suis enchanté de vous rencontrer,Bonjour ! Mais ça n'est pas moi.
hey R2D2,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
je suis ravie de faire ta connaissance,Erreur 404... Mauvais chatbot !
Siri hello,Bonjour ! Mais ça n'est pas moi.
bien le bonjour her,Il ne s'agit pas de moi. Bonjour tout de même.
Bigsby hello,Erreur 404... Mauvais chatbot !
Siri bonjour,Il ne s'agit pas de moi. Bonjour tout de même.
Siri yo,Il ne s'agit pas de moi. Bonjour tout de même.
Siri wesh,Erreur 404... Mauvais chatbot !
Siri coucou,Il ne s'agit pas de moi. Bonjour tout de même.
Siri aloha,"Ce n'est pas moi, mais bonjour !"
Siri hé,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Siri hey,Bonjour ! Mais ça n'est pas moi.
Siri bien le bonjour,"Ce n'est pas moi, mais bonjour !"
Siri salut,Erreur 404... Mauvais chatbot !
Assistant Google hey,Erreur 404... Mauvais chatbot !
Assistant Google hi,Bonjour ! Mais ça n'est pas moi.
Assistant Google yo,"Ce n'est pas moi, mais bonjour !"
Assistant Google wesh,Il ne s'agit pas de moi. Bonjour tout de même.
Assistant Google coucou,"Ce n'est pas moi, mais bonjour !"
Siri salutations,Bonjour ! Mais ça n'est pas moi.
Bigsby wesh,Il ne s'agit pas de moi. Bonjour tout de même.
Google salutations,Bonjour ! Mais ça n'est pas moi.
Google bien le bonjour,Erreur 404... Mauvais chatbot !
Google bonjour,"Ce n'est pas moi, mais bonjour !"
Google salut,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Google ok,Il ne s'agit pas de moi. Bonjour tout de même.
Bigsby hey,Il ne s'agit pas de moi. Bonjour tout de même.
Siri hi,Il ne s'agit pas de moi. Bonjour tout de même.
Bigsby yo,Il ne s'agit pas de moi. Bonjour tout de même.
Assistant Google salutations,"Ce n'est pas moi, mais bonjour !"
Bigsby coucou,"Ce n'est pas moi, mais bonjour !"
Bigsby aloha,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Bigsby hé,Bonjour ! Mais ça n'est pas moi.
Bigsby salutations,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Bigsby bien le bonjour,Il ne s'agit pas de moi. Bonjour tout de même.
Bigsby bonjour,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Bigsby salut,Erreur 404... Mauvais chatbot !
Bigsby hi,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
wesh HAL,Erreur 404... Mauvais chatbot !
coucou HAL,Il ne s'agit pas de moi. Bonjour tout de même.
aloha HAL,"Ce n'est pas moi, mais bonjour !"
hé HAL,Il ne s'agit pas de moi. Bonjour tout de même.
salutations HAL,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
bien le bonjour HAL,Bonjour ! Mais ça n'est pas moi.
Assistant Google aloha,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
salut HAL,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
hey HAL,Bonjour ! Mais ça n'est pas moi.
hi wall-e,Il ne s'agit pas de moi. Bonjour tout de même.
yo wall-e,Bonjour ! Mais ça n'est pas moi.
wesh wall-e,Bonjour ! Mais ça n'est pas moi.
coucou wall-e,Erreur 404... Mauvais chatbot !
aloha wall-e,Erreur 404... Mauvais chatbot !
hé wall-e,Il ne s'agit pas de moi. Bonjour tout de même.
salutations wall-e,Bonjour ! Mais ça n'est pas moi.
bonjour HAL,Il ne s'agit pas de moi. Bonjour tout de même.
coucou Cortana,Bonjour ! Mais ça n'est pas moi.
Google coucou,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Assistant Google bien le bonjour,Erreur 404... Mauvais chatbot !
Assistant Google bonjour,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Assistant Google salut,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
Assistant Google hello,Bonjour ! Mais ça n'est pas moi.
hey Cortana,Bonjour ! Mais ça n'est pas moi.
hi Cortana,Erreur 404... Mauvais chatbot !
yo HAL,Bonjour ! Mais ça n'est pas moi.
wesh Cortana,Erreur 404... Mauvais chatbot !
hi HAL,Il ne s'agit pas de moi. Bonjour tout de même.
aloha Cortana,Vous ne vous adressez pas au bon chatbot. Mais bonjour.
